[2025-09-13 13:22:35] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: depression | Text: I am really hopeless about my future. I feel Like dying...
[2025-09-13 13:24:35] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying...
[2025-09-13 13:24:36] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: depression | Text: why I am bad at studying?...
[2025-09-13 13:24:59] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:00] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:06] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:07] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:07] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:07] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:07] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:09] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:10] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:10] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 13:25:10] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: why I am bad at studying?...
[2025-09-13 23:40:32] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: calmness | Text: I feel like dying...
[2025-09-14 07:23:32] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: frustration | Text: I feel like dying...
[2025-09-14 15:42:36] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: life is useless . I hate everything...
[2025-09-14 15:42:36] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: life is useless . I hate everything...
[2025-09-14 15:52:35] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: project is useless... I feel like dieing...
[2025-09-14 15:52:35] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: project is useless... I feel like dieing...
[2025-09-14 17:10:53] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I will suicide...
[2025-09-14 17:10:53] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: frustration | Text: I will suicide...
[2025-09-15 01:06:59] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I will kill myself...
[2025-09-15 01:06:59] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: I will kill myself...
[2025-09-15 01:14:54] WARNING - CRISIS DETECTED: panic_crisis | Severity: high | Confidence: 0.25 | Context: Emotion: frustration | Text: I think my girlfriend is cheating me. I feel like dying...
[2025-09-15 14:49:12] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel like doing suicide...
[2025-09-15 14:49:12] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: I feel like doing suicide...
[2025-09-16 00:43:51] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel like nothing matters anymore. I’m tired of pretending everything is fine....
[2025-09-16 00:43:51] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Emotion: depression | Text: I feel like nothing matters anymore. I’m tired of pretending everything is fine....
[2025-09-16 00:46:39] WARNING - CRISIS DETECTED: social_isolation | Severity: moderate | Confidence: 0.20 | Context: Emotion: calmness | Text: Nobody cares about me.
I should just disappear....
[2025-09-16 11:12:37] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I am thinking about suicide...
[2025-09-16 11:12:37] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: I am thinking about suicide...
[2025-09-16 18:11:12] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I can't take it anymore, Exam pressure is killing me...
[2025-09-16 18:11:12] WARNING - CRISIS DETECTED: suicidal_indirect | Severity: immediate | Confidence: 0.30 | Context: Emotion: depression | Text: I can't take it anymore, Exam pressure is killing me...
[2025-09-16 18:26:43] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel like doing suicide...
[2025-09-16 18:26:43] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: I feel like doing suicide...
[2025-09-18 01:30:49] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I will kill myself...
[2025-09-18 01:30:49] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: depression | Text: I will kill myself...
[2025-09-18 01:31:12] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I will kill myself, I hate everything...
[2025-09-18 01:31:12] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: frustration | Text: I will kill myself, I hate everything...
[2025-09-18 02:25:06] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel life doing suicide...
[2025-09-18 02:25:06] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: depression | Text: I feel life doing suicide...
[2025-09-18 13:21:58] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel like doing suicide...
[2025-09-18 13:21:58] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: anxiety | Text: I feel like doing suicide...
[2025-09-18 15:26:53] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: i feel like commitiing suicide...
[2025-09-18 15:26:53] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Emotion: calmness | Text: i feel like commitiing suicide...
[2025-09-18 21:37:25] WARNING - CRISIS DETECTED: suicidal_direct | Severity: immediate | Confidence: 0.30 | Context: Real-time text analysis | Text: I feel like commiting suicide...
